英日TAT200
名詞,動詞,助動詞,形容詞,副詞,前置詞,接続詞,熟語,,
一般,,
structure,構造［組織，建造物］,名詞
substitute A for B,AをBに置換する,熟語
subtraction,引くこと，引き算,名詞
suction,吸引（力）,名詞
supply,供給［補充］する,動詞
survival,生き残ること［残存，生存の］,名詞
symmetry,対称,名詞
synchronous,同期［同時］の,形容詞
synthetic,合成の，総合的な,形容詞
take in,摂取する,熟語
technique,技術,名詞
tend to,～の傾向にある,熟語
transform A into B,AをBに変形させる,熟語
translucent,半透明の,形容詞
transmit A to B,AをBに送る［伝える，感染する］,熟語
transparent,透明な,形容詞
turn A into B,AをBに変える,熟語
unite,結びつける[結合，合体，接合，接着する],動詞
update,更新する,動詞
variable,不定の,形容詞
variation,変化すること[変動，差異],名詞
various,さまざまな,形容詞
vertical,垂直な,形容詞
volume,量[容積，音量],名詞
water-resistant,耐水の,形容詞
weight,重さ[体重，重力，おもり，重圧，重要さ],名詞
width,幅,名詞
